GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopping_list,edu.westga.comp4420.shopping_list,Main,27,0,0,0,9,0,3,0,3,0
shopping_list,edu.westga.comp4420.shopping_list.model,Item,0,38,0,6,0,12,0,7,0,4
